"File","Method","p","converged","time2"
"Results_At_1001/Times_At_1001_tmp_001_all_all.csv","MegaLMM_0.50_",20842,NA,52695.3158142086
"Results_At_1001/Times_At_1001_tmp_001_all_all.csv","MegaLMM_1.00_",20842,NA,69800.1645537771
"Results_At_1001/Times_At_1001_tmp_001_all_all.csv","MegaLMM_2.00_",20842,NA,129184.688526893
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MTG2",4,FALSE,0.120000000000001
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MCMCglmm",4,NA,9.74194892040243
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","phenix",4,NA,0.648
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_0.50_",4,NA,69.1652246464846
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_1.00_",4,NA,71.8148623985883
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_2.00_",4,NA,1076.28205413794
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MTG2",8,FALSE,1.27099999999996
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MCMCglmm",8,NA,26.0266304594164
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","phenix",8,NA,1.16800000000012
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_0.50_",8,NA,730.228716847548
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_1.00_",8,NA,827.841591208398
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_2.00_",8,NA,1355.08645777093
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MTG2",16,FALSE,3.17099999999982
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MCMCglmm",16,NA,92.3958755903128
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","phenix",16,NA,3.19200000000001
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_0.50_",16,NA,735.675905952631
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_1.00_",16,NA,1543.78518016652
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_2.00_",16,NA,2850.98314953784
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MTG2",32,FALSE,166.458000000001
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MCMCglmm",32,NA,381.57715148237
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","phenix",32,NA,6.73799999999937
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_0.50_",32,NA,1488.4608349745
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_1.00_",32,NA,3925.30306514075
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_2.00_",32,NA,3773.5810529824
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MTG2",64,TRUE,2909.849
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MCMCglmm",64,NA,2666.38802157677
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","phenix",64,NA,37.7729999999974
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_0.50_",64,NA,4221.71824676397
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_1.00_",64,NA,4832.82573167104
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_2.00_",64,NA,1273.28395646025
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","phenix",128,NA,166.605
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_0.50_",128,NA,4477.69164752313
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_1.00_",128,NA,1083.79881066222
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_2.00_",128,NA,1437.38679031922
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","phenix",256,NA,814.57
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_0.50_",256,NA,1517.7674847603
