"Trial","Name","Method","pearson","g_cor","fold","year","trt"
"2013-14
Moderate Drought","H","GBLUP",0.380595972677306,0.240296884248202,1,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H","HBLUP",0.706476843833411,0.368393737592117,1,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H","GBLUP+H",0.713588399256423,0.466861904898975,1,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_2.csv","GBLUP",0.3462339097677,0.345691449217772,2,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_2.csv","HBLUP",0.532914102751754,0.370531249516538,2,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_2.csv","GBLUP+H",0.628298340474106,0.533937176987811,2,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_3.csv","GBLUP",0.448481391627026,0.553173490130184,3,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_3.csv","HBLUP",0.620913717100367,0.335926440653815,3,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_3.csv","GBLUP+H",0.693506045356632,0.648329829446459,3,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_4.csv","GBLUP",0.463083925062996,0.413355264068733,4,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_4.csv","HBLUP",0.704046953784612,0.297228911833102,4,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_4.csv","GBLUP+H",0.79765567298985,0.537339265141512,4,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_5.csv","GBLUP",0.462516462557738,0.588355469138588,5,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_5.csv","HBLUP",0.638554773798971,0.37286470383135,5,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","H_fold_5.csv","GBLUP+H",0.710062611451247,0.611719744766619,5,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM","MegaLMM
GBLUP",0.722524972284754,0.440789653804369,1,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_fold_2.csv","MegaLMM
GBLUP",0.702533944442766,0.548939468891675,2,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_fold_3.csv","MegaLMM
GBLUP",0.7675914168814,0.698336166719474,3,"2013-14","Moderate Drought"
"2013-14
Moderate Drought","MegaLMM_fold_4.csv","MegaLMM
GBLUP",0.682135162065868,0.570062890034468,4,"2013-14","Moderate Drought"
