"Method","pearson","g_cor","fold"
"MegaLMM
GBLUP",0.643775600499142,0.717496063117254,1
"MegaLMM
GBLUP",0.721989492458151,0.678972840098252,10
"MegaLMM
GBLUP",0.74349291508319,0.731975616206783,11
"MegaLMM
GBLUP",0.669291251223948,0.769798438135877,12
"MegaLMM
GBLUP",0.829621872247107,0.740537758378128,13
"MegaLMM
GBLUP",0.677795353452493,0.739871332450572,14
"MegaLMM
GBLUP",0.817412718997856,0.717152788971338,15
"MegaLMM
GBLUP",0.738454700702734,0.709017034044413,16
"MegaLMM
GBLUP",0.694783270081915,0.808218916716011,17
"MegaLMM
GBLUP",0.63995689907469,0.694458894648575,18
"MegaLMM
GBLUP",0.733531320312633,0.782551075444,19
"MegaLMM
GBLUP",0.713225467289349,0.784414509911822,2
"MegaLMM
GBLUP",0.858844633710749,0.713944038925589,20
"MegaLMM
GBLUP",0.733420406468154,0.738963902030466,3
"MegaLMM
GBLUP",0.7783123463389,0.7347796585807,4
"MegaLMM
GBLUP",0.690015921494405,0.637184338820827,5
"MegaLMM
GBLUP",0.671266043158781,0.73205133942404,6
"MegaLMM
GBLUP",0.816914080680646,0.776315296099831,7
"MegaLMM
GBLUP",0.85796223334132,0.665076523307516,8
"MegaLMM
GBLUP",0.71327492929786,0.731304789032766,9
"MegaLMM
RKHS",0.7047999373653,0.789448859596578,1
"MegaLMM
RKHS",0.777241494545078,0.762036581882323,10
"MegaLMM
RKHS",0.798508594450059,0.737498325142692,11
"MegaLMM
RKHS",0.764762992045804,0.838657426670527,12
"MegaLMM
RKHS",0.895339203443005,0.809585177013677,13
"MegaLMM
RKHS",0.747466763124872,0.774817594534636,14
"MegaLMM
RKHS",0.842556582661765,0.790475131161215,15
"MegaLMM
RKHS",0.811172001361669,0.782116982851404,16
"MegaLMM
RKHS",0.713537172347254,0.811777385009317,17
"MegaLMM
RKHS",0.706241084859292,0.652051983039102,18
"MegaLMM
RKHS",0.747766637884189,0.753073475310267,19
"MegaLMM
RKHS",0.745613206855869,0.802133711637417,2
"MegaLMM
RKHS",0.922626883008222,0.760609873810088,20
"MegaLMM
RKHS",0.80269290363473,0.833908895675027,3
"MegaLMM
RKHS",0.837856872352531,0.731656471869127,4
"MegaLMM
RKHS",0.744464714577636,0.649076965265968,5
"MegaLMM
RKHS",0.76230843485748,0.803712284124107,6
"MegaLMM
RKHS",0.862769451019965,0.846773365537432,7
"MegaLMM
RKHS",0.947651773580165,0.778547808140927,8
"MegaLMM
RKHS",0.768046579512791,0.768444242361055,9
"MegaLMM
Horseshoe",0.554142214448531,0.624657696882424,1
"MegaLMM
Horseshoe",0.565887400341012,0.677436109370047,10
"MegaLMM
Horseshoe",0.558754178584593,0.663550841495979,11
"MegaLMM
Horseshoe",0.540471979295626,0.63818958260254,12
"MegaLMM
Horseshoe",0.56952826167862,0.715327312245978,13
"MegaLMM
Horseshoe",0.573956362177506,0.680841614374207,14
"MegaLMM
Horseshoe",0.577366534288606,0.723883416435407,15
"MegaLMM
Horseshoe",0.563360832136388,0.700232288482863,16
"MegaLMM
Horseshoe",0.562391666359754,0.672872574154907,17
"MegaLMM
Horseshoe",0.547702615927452,0.644327735401178,18
"MegaLMM
Horseshoe",0.557765756930551,0.658979070118843,19
"MegaLMM
Horseshoe",0.532438250522724,0.645943141404501,2
"MegaLMM
Horseshoe",0.568272768550237,0.693189441210748,20
"MegaLMM
Horseshoe",0.573592213504119,0.70063735796709,3
"MegaLMM
Horseshoe",0.550359973632902,0.634298482499055,4
"MegaLMM
Horseshoe",0.561086636270948,0.658680875814677,5
"MegaLMM
Horseshoe",0.547494291519667,0.626782043297393,6
"MegaLMM
Horseshoe",0.561699899602952,0.68252532811044,7
"MegaLMM
Horseshoe",0.586193846641917,0.694870229534218,8
"MegaLMM
Horseshoe",0.553340773967924,0.660545082547051,9
